city,bedrooms,bathrooms,sqft_living,sqft_lot,sqft_above,sqft_basement,floors,waterfront,view,condition,yr_built,yr_renovated,was_renovated,date,price
North Bend,3,2.5,2680,5539,2680,0,2.0,0,0,3,2013,0,0,2014-05-02,459990.0
Renton,4,3.25,2730,54014,1560,1170,1.0,0,0,3,2007,0,0,2014-05-02,625000.0
Kent,3,2.5,2540,5050,2540,0,2.0,0,0,3,2006,0,0,2014-05-02,300000.0
Renton,4,2.75,2920,6605,2920,0,2.0,0,0,3,2012,0,0,2014-05-03,625000.0
Seattle,2,1.0,900,5000,900,0,1.0,0,0,3,1944,0,0,2014-05-03,553000.0
Issaquah,3,2.5,1650,14054,1130,520,1.0,0,0,4,1986,0,0,2014-05-03,379880.0
Snoqualmie,3,1.0,1010,9945,1010,0,1.0,0,0,4,1973,0,0,2014-05-03,310000.0
Redmond,2,2.5,2680,7392,2680,0,1.0,0,0,3,2004,0,0,2014-05-04,775000.0
Renton,3,2.5,2200,7350,1570,630,1.0,0,0,5,1988,0,0,2014-05-04,365000.0
Auburn,4,2.5,2530,9933,2010,520,2.0,0,2,3,1990,0,0,2014-05-04,331950.0
Seattle,3,2.5,2850,7130,1990,860,2.0,0,0,3,1980,0,0,2014-05-04,783500.0
Seattle,4,2.0,2280,6010,1140,1140,1.0,0,0,3,1900,0,0,2014-05-04,628000.0
Sammamish,3,2.5,1900,8744,1900,0,2.0,0,0,3,1987,0,0,2014-05-05,560000.0
Kirkland,3,1.0,1330,77972,1330,0,1.0,0,0,3,1928,1954,1,2014-05-05,900000.0
Seattle,2,3.0,1270,1175,1110,160,2.0,0,0,3,2000,0,0,2014-05-05,531000.0
Seattle,4,3.0,2170,4000,1610,560,2.0,0,0,4,1982,2011,1,2014-05-05,831000.0
Sammamish,4,2.5,2730,10281,2730,0,2.0,0,2,3,1996,0,0,2014-05-05,780000.0
Bellevue,4,2.5,2120,10202,1620,500,1.0,0,0,4,1960,0,0,2014-05-05,755000.0
Issaquah,3,2.5,2490,4343,2490,0,2.0,0,0,3,2003,0,0,2014-05-05,705380.0
Issaquah,4,2.25,1990,7712,1210,780,1.0,0,0,3,1973,0,0,2014-05-05,627000.0
Sammamish,4,3.0,3690,9892,3690,0,2.0,0,0,3,1998,0,0,2014-05-05,865000.0
Seattle,2,1.0,2540,7000,1320,1220,1.0,0,0,5,1942,0,0,2014-05-05,580000.0
Issaquah,3,2.25,1800,36704,1360,440,1.0,0,0,4,1978,0,0,2014-05-05,410000.0
Kirkland,4,3.0,2340,7048,1340,1000,1.0,0,0,4,1979,0,0,2014-05-05,485000.0
Shoreline,2,1.75,2110,9519,2110,0,1.0,0,0,2,1948,0,0,2014-05-05,400000.0
Seattle,2,1.0,1140,5400,1140,0,1.0,0,0,5,1908,0,0,2014-05-05,549000.0
Kirkland,3,1.75,1480,2185,1480,0,2.5,0,0,3,2005,0,0,2014-05-05,620000.0
Seattle,2,3.0,1410,1240,1140,270,2.0,0,0,3,2006,0,0,2014-05-05,405000.0
Des Moines,2,1.0,1200,8063,1200,0,1.0,0,0,4,1958,0,0,2014-05-05,232000.0
Kirkland,5,2.5,3180,13806,3180,0,2.0,0,0,4,1990,0,0,2014-05-05,800866.0
Seattle,3,1.5,2160,9000,1400,760,1.0,0,2,4,1949,0,0,2014-05-05,650000.0
Seattle,6,1.75,2920,5000,2780,140,2.5,0,0,4,1908,0,0,2014-05-05,823000.0
Seattle,3,2.0,2350,5700,1810,540,1.5,0,0,4,1939,0,0,2014-05-05,770000.0
Seattle,3,1.75,1560,5520,780,780,1.0,0,0,4,1944,0,0,2014-05-05,524000.0
Bellevue,5,2.75,2740,8426,1370,1370,1.0,0,0,4,1960,0,0,2014-05-05,541125.0
Seattle,3,2.5,1680,2000,1680,0,3.0,0,0,3,1909,1998,1,2014-05-05,670000.0
Federal Way,5,2.5,3090,12750,1750,1340,1.0,0,0,3,1968,0,0,2014-05-05,384900.0
Seattle,3,2.25,1410,1332,1410,0,3.0,0,0,3,2005,0,0,2014-05-05,406100.0
Seattle,5,3.5,4010,8510,2850,1160,2.0,0,1,5,1971,0,0,2014-05-05,1395000.0
Renton,4,2.5,3180,21904,3180,0,2.0,0,3,3,2000,0,0,2014-05-05,736500.0
Redmond,3,2.25,2010,6000,1330,680,1.0,0,0,3,1975,0,0,2014-05-05,570000.0
Bellevue,3,1.75,1330,7500,1330,0,1.0,0,0,3,1961,0,0,2014-05-05,787000.0
Auburn,4,2.5,2370,6500,2370,0,2.0,0,0,3,1998,0,0,2014-05-05,328000.0
Seattle,5,2.0,1840,9240,1540,300,1.0,0,0,4,1942,1958,1,2014-05-05,435000.0
Snoqualmie,4,2.5,2910,6479,2910,0,2.0,0,0,3,2006,0,0,2014-05-05,499000.0
Bellevue,4,1.0,2070,7519,1160,910,1.0,0,0,3,1963,0,0,2014-05-05,501000.0
Redmond,4,2.5,4340,141570,4340,0,2.5,0,0,3,1992,0,0,2014-05-05,1090000.0
Seattle,2,1.0,840,5510,840,0,1.0,0,0,3,1955,0,0,2014-05-05,400000.0
Federal Way,4,1.5,1240,9600,1240,0,1.0,0,0,3,1971,0,0,2014-05-05,220000.0
Seattle,4,1.0,1390,4240,1050,340,1.0,0,0,3,1924,0,0,2014-05-05,657100.0
Maple Valley,4,2.75,2310,5000,2310,0,2.0,0,0,3,2006,0,0,2014-05-05,309950.0
Duvall,3,2.0,1050,10072,1050,0,1.0,0,0,3,1986,0,0,2014-05-05,300000.0
Issaquah,5,1.75,2550,71874,1810,740,1.0,0,0,5,1960,0,0,2014-05-05,525888.0
Seattle,4,1.75,2010,3600,2010,0,1.5,0,0,3,1902,0,0,2014-05-05,740000.0
Kirkland,5,1.0,1120,9022,1120,0,1.5,0,0,4,1962,0,0,2014-05-05,340000.0
Seattle,3,2.5,2230,4000,2230,0,2.0,0,0,3,1954,0,0,2014-05-05,398750.0
Burien,2,1.0,810,7158,810,0,1.0,0,0,5,1944,0,0,2014-05-05,206000.0
Bellevue,5,2.75,3190,16920,1690,1500,1.0,0,3,3,1976,0,0,2014-05-05,1030000.0
Sammamish,3,1.75,1670,39639,1670,0,1.0,0,0,4,1976,1992,1,2014-05-05,600000.0
Shoreline,4,1.75,1970,9389,1140,830,1.0,0,0,5,1960,0,0,2014-05-05,379950.0
Seattle,3,1.0,1450,6000,1450,0,1.0,0,0,4,1953,0,0,2014-05-05,287000.0
Redmond,7,8.0,13540,307752,9410,4130,3.0,0,4,3,1999,0,0,2014-05-05,2280000.0
Renton,3,2.5,1880,7838,1880,0,2.0,0,0,3,1994,0,0,2014-05-05,309950.0
Seattle,3,1.75,1880,6360,1040,840,1.0,0,0,4,1945,0,0,2014-05-05,600000.0
Seattle,3,2.0,1410,6030,1410,0,1.5,0,0,4,1930,0,0,2014-05-05,418000.0
Seattle,4,2.0,1480,3844,1480,0,1.5,0,0,5,1928,0,0,2014-05-05,449250.0
Seattle,2,1.0,1140,5250,1140,0,1.5,0,0,4,1949,0,0,2014-05-05,329950.0
Auburn,3,1.75,1920,9306,1000,920,1.0,0,0,3,1984,0,0,2014-05-05,245000.0
Renton,4,2.5,2910,6338,2910,0,2.0,0,0,3,2008,0,0,2014-05-05,549000.0
Sammamish,3,2.5,3240,7857,3240,0,2.0,0,0,3,1994,0,0,2014-05-05,800000.0
Renton,3,2.0,1550,15040,1550,0,1.0,0,0,4,1958,0,0,2014-05-05,249950.0
Des Moines,5,2.0,2050,10200,1430,620,1.0,0,0,3,1956,0,0,2014-05-05,210000.0
Seattle,2,2.5,2220,4000,2220,0,2.0,0,0,3,2000,0,0,2014-05-05,1425000.0
Seattle,2,1.0,1770,8640,1520,250,1.5,0,0,3,1949,0,0,2014-05-05,585000.0
Redmond,4,1.75,2300,11700,1960,340,1.0,0,0,4,1977,0,0,2014-05-05,615000.0
Seattle,3,2.0,1800,5000,1080,720,1.0,0,0,4,1942,0,0,2014-05-05,618500.0
Kirkland,4,1.75,2010,9211,1470,540,1.0,0,0,3,1977,0,0,2014-05-05,487585.0
Issaquah,3,2.5,1790,2700,1790,0,2.0,0,0,3,2010,0,0,2014-05-05,509900.0
Seattle,4,2.5,2440,6651,2440,0,2.0,0,0,3,2014,0,0,2014-05-05,631625.0
Issaquah,3,2.5,1940,3211,1940,0,2.0,0,0,3,2009,0,0,2014-05-05,555000.0
Seattle,2,1.5,1160,1438,1160,0,2.0,0,0,3,2001,0,0,2014-05-05,340000.0
Redmond,4,2.5,3400,9692,3400,0,2.0,0,0,3,2007,0,0,2014-05-05,830000.0
Issaquah,4,4.25,4420,5750,3410,1010,2.0,0,0,3,2006,0,0,2014-05-05,890000.0
Seattle,3,3.0,1571,2017,1571,0,3.0,0,0,3,2008,0,0,2014-05-05,366750.0
Issaquah,3,2.25,1620,998,1540,80,2.5,0,0,3,2010,0,0,2014-05-05,415000.0
Seattle,3,2.5,1408,989,1408,0,3.0,0,0,3,2005,0,0,2014-05-05,416286.0
Renton,3,2.5,3040,4535,3040,0,2.0,0,0,3,2007,0,0,2014-05-05,478000.0
Issaquah,5,3.5,4490,6000,3200,1290,2.0,0,0,3,2006,0,0,2014-05-05,890000.0
Issaquah,2,2.5,1590,1426,1590,0,2.0,0,0,3,2014,0,0,2014-05-05,419190.0
Redmond,4,2.5,2450,4247,2450,0,2.0,0,0,3,2013,0,0,2014-05-05,712198.0
Kirkland,4,2.0,1440,7680,1200,240,1.0,0,0,3,1971,0,0,2014-05-06,397000.0
Seattle,2,2.0,1100,3000,1100,0,1.5,0,0,3,1912,2005,1,2014-05-06,450000.0
Seattle,3,1.0,1350,7740,860,490,1.0,0,0,4,1947,0,0,2014-05-06,353000.0
Redmond,4,2.5,2150,37981,2150,0,2.0,0,0,3,1985,0,0,2014-05-06,609000.0
Covington,3,1.75,1490,8366,1010,480,1.0,0,0,4,1975,0,0,2014-05-06,234000.0
Seattle,3,2.0,2000,7000,2000,0,2.0,0,0,3,1916,1986,1,2014-05-06,561000.0
Seattle,2,1.0,1030,4400,1030,0,1.0,0,0,3,1924,0,0,2014-05-06,469000.0
Seattle,2,1.0,720,6687,720,0,1.0,0,0,3,1942,0,0,2014-05-06,329350.0
Seattle,5,2.0,2020,5000,2020,0,1.5,0,0,4,1938,0,0,2014-05-06,488000.0
Des Moines,3,1.75,1580,8151,1100,480,1.0,0,1,4,1962,0,0,2014-05-06,279900.0
Issaquah,4,2.5,2110,13850,2110,0,2.0,0,0,3,1987,0,0,2014-05-06,606000.0
Seattle,4,2.0,1300,7054,1300,0,1.0,0,0,3,1950,2013,1,2014-05-06,312000.0
Seattle,3,1.5,1630,7475,1160,470,1.0,0,1,3,1940,0,0,2014-05-06,650000.0
Seattle,4,2.75,3370,8103,1970,1400,1.0,0,3,3,1970,2014,1,2014-05-06,1135000.0
Seattle,4,2.5,1890,6156,980,910,1.0,0,0,3,1980,0,0,2014-05-06,325000.0
Inglewood-Finn Hill,4,2.0,1520,7983,1520,0,1.0,0,0,5,1967,0,0,2014-05-06,425000.0
Seattle,2,1.0,900,5160,900,0,1.0,0,0,3,1952,0,0,2014-05-06,219000.0
Shoreline,3,1.0,1050,6874,1050,0,1.0,0,0,3,1954,0,0,2014-05-06,250000.0
Bellevue,3,1.75,1260,6500,1260,0,1.0,0,0,4,1966,0,0,2014-05-06,390000.0
Kenmore,6,3.0,3470,117612,3470,0,1.5,0,0,3,1924,0,0,2014-05-06,475000.0
Bellevue,4,2.5,2290,12047,2290,0,2.0,0,0,4,1988,0,0,2014-05-06,736000.0
Des Moines,4,2.25,2810,23400,1710,1100,1.0,0,1,3,1958,0,0,2014-05-06,407000.0
Carnation,3,2.5,1650,13816,1650,0,2.0,0,0,3,1998,0,0,2014-05-06,272000.0
Burien,3,2.25,1640,14374,1140,500,1.0,0,0,4,1963,0,0,2014-05-06,362000.0
Kirkland,3,2.5,1850,10109,1850,0,2.0,0,0,3,1991,0,0,2014-05-06,535000.0
Kent,4,2.5,2000,5390,2000,0,2.0,0,0,3,2003,0,0,2014-05-06,284000.0
Shoreline,3,1.5,1410,9647,1410,0,1.0,0,0,3,1961,0,0,2014-05-06,367500.0
Kenmore,4,1.75,1500,11600,1000,500,1.0,0,0,4,1955,0,0,2014-05-06,379900.0
Renton,3,2.5,2460,54885,2460,0,2.0,0,0,4,1980,0,0,2014-05-06,520000.0
Renton,3,1.0,1010,7034,1010,0,1.0,0,0,3,1954,0,0,2014-05-06,175000.0
Seattle,2,2.25,1230,929,1020,210,2.0,0,0,3,2004,0,0,2014-05-06,460000.0
Renton,4,2.5,2331,3826,2331,0,2.0,0,0,3,2007,0,0,2014-05-06,345000.0
Kirkland,5,2.5,2240,7770,1340,900,1.0,0,0,3,1978,0,0,2014-05-06,455000.0
Bellevue,4,3.0,2450,10117,1580,870,1.0,0,0,5,1967,0,0,2014-05-06,610000.0
Kenmore,4,3.0,3100,15480,2400,700,2.0,0,0,3,1996,0,0,2014-05-06,563000.0
Seattle,4,2.0,2060,5000,1030,1030,1.0,0,0,3,1949,2013,1,2014-05-06,612500.0
Federal Way,3,1.75,1850,7684,1320,530,1.0,0,0,3,1979,0,0,2014-05-06,218000.0
Bellevue,4,1.75,1840,10720,960,880,1.0,0,0,3,1958,0,0,2014-05-06,404000.0
Redmond,4,2.0,3740,32417,3740,0,2.0,0,0,3,2000,0,0,2014-05-06,860000.0
Federal Way,3,1.5,1420,8580,1420,0,1.0,0,0,3,1962,0,0,2014-05-06,136500.0
Seattle,3,1.0,1510,6083,860,650,1.0,0,0,4,1940,0,0,2014-05-06,313950.0
Seattle,3,1.75,2130,6500,1170,960,1.0,0,2,3,1954,0,0,2014-05-06,575000.0
Seattle,4,2.25,3490,6906,2280,1210,2.0,0,0,4,1928,0,0,2014-05-06,1225000.0
North Bend,3,1.75,1630,11800,1630,0,1.0,0,0,4,1971,0,0,2014-05-06,280000.0
Sammamish,3,2.5,1790,7167,1790,0,2.0,0,0,3,1989,0,0,2014-05-06,515000.0
Kenmore,4,2.5,2000,5684,2000,0,2.0,0,0,3,1996,0,0,2014-05-06,513000.0
Bellevue,4,2.25,2260,29930,1400,860,2.0,0,0,4,1977,0,0,2014-05-06,599000.0
Sammamish,4,2.5,3030,7864,3030,0,2.0,0,0,3,1999,0,0,2014-05-06,685000.0
Seattle,3,1.5,1310,8160,1310,0,1.0,0,0,3,1950,0,0,2014-05-06,365000.0
Sammamish,4,2.5,3880,14550,3880,0,2.0,0,0,3,1987,0,0,2014-05-06,762300.0
Seattle,4,3.25,3760,10920,2400,1360,1.5,0,0,5,1950,0,0,2014-05-06,1580000.0
Redmond,5,2.25,3040,8111,3040,0,2.0,0,0,3,1984,0,0,2014-05-06,562000.0
Bellevue,5,2.5,2910,9636,1690,1220,1.0,0,0,4,1964,0,0,2014-05-06,530000.0
Sammamish,3,2.5,2970,11985,1770,1200,1.0,0,0,3,1995,0,0,2014-05-06,525000.0
Seattle,2,1.75,1660,6000,1160,500,1.0,0,0,3,1942,0,0,2014-05-06,484000.0
Newcastle,4,2.5,3200,12369,3200,0,2.0,0,0,3,1998,0,0,2014-05-06,725126.0
Auburn,4,2.0,2680,18768,2680,0,1.0,0,0,5,1965,0,0,2014-05-06,360000.0
Newcastle,3,1.0,1230,9568,1230,0,1.0,0,0,5,1962,0,0,2014-05-06,387000.0
Woodinville,4,2.5,2740,45732,2740,0,2.0,0,0,3,1995,0,0,2014-05-06,483500.0
Shoreline,4,3.5,3380,8330,3380,0,2.0,0,0,3,2000,0,0,2014-05-06,655500.0
Seattle,3,1.0,1110,6250,1110,0,1.0,0,0,3,1956,0,0,2014-05-06,345000.0
Seattle,5,2.75,1800,3780,1400,400,1.5,0,0,3,1926,0,0,2014-05-06,533000.0
Seattle,3,1.75,1900,5520,1280,620,1.0,0,0,3,1982,0,0,2014-05-06,385000.0
Bellevue,2,1.0,930,36478,930,0,1.0,0,2,3,1951,0,0,2014-05-06,675000.0
Auburn,3,1.75,1690,7735,1060,630,1.0,0,0,4,1976,0,0,2014-05-06,197000.0
Seattle,3,2.0,1420,4080,1420,0,1.5,0,0,3,1905,2013,1,2014-05-06,485000.0
Mercer Island,5,4.0,4510,15175,4510,0,2.0,0,0,3,1969,2002,1,2014-05-06,1870000.0
Federal Way,3,2.25,1980,8000,1560,420,1.0,0,0,4,1974,0,0,2014-05-06,295000.0
Seattle,2,1.75,1170,2400,740,430,1.0,0,0,4,1903,0,0,2014-05-06,499000.0
Seattle,3,2.5,2200,1970,1610,590,2.0,0,0,3,2008,0,0,2014-05-06,1050000.0
Federal Way,3,1.5,800,8850,800,0,1.0,0,0,4,1959,0,0,2014-05-06,191000.0
Seattle,3,2.5,1480,1171,1480,0,3.0,0,0,3,2006,0,0,2014-05-06,500000.0
Seattle,5,3.75,2890,5000,1310,1580,1.0,0,0,3,2006,0,0,2014-05-06,390000.0
Seattle,3,2.5,2690,4047,2690,0,3.0,0,0,3,2014,0,0,2014-05-06,979000.0
Renton,4,3.25,3569,8327,3569,0,2.0,0,0,3,2013,0,0,2014-05-06,580000.0
Seattle,3,2.0,1270,1320,1270,0,3.0,0,0,3,2006,0,0,2014-05-06,369950.0
Bellevue,5,5.0,4490,10279,3930,560,2.0,0,0,3,2013,0,0,2014-05-06,1800000.0
Redmond,4,2.5,3040,6425,3040,0,2.0,0,0,3,2008,0,0,2014-05-06,776000.0
Seattle,3,2.25,1170,1249,1170,0,3.0,0,0,3,2014,0,0,2014-05-07,519950.0
Burien,5,2.25,2060,8632,1030,1030,1.0,0,0,3,1962,0,0,2014-05-07,255000.0
Seattle,3,1.0,990,6000,990,0,1.0,0,0,3,1943,0,0,2014-05-07,495000.0
Shoreline,4,2.5,2430,5203,2430,0,2.0,0,0,3,2003,0,0,2014-05-07,510000.0
Redmond,4,4.0,4460,103382,4460,0,2.0,0,0,3,2001,0,0,2014-05-07,1150000.0
Black Diamond,3,1.75,1250,10122,1250,0,1.0,0,0,3,1994,0,0,2014-05-07,253000.0
Kirkland,3,2.75,1540,6760,1210,330,1.0,0,0,5,1980,0,0,2014-05-07,503000.0
Maple Valley,3,2.5,1600,7000,1600,0,2.0,0,0,4,1993,0,0,2014-05-07,275000.0
Burien,3,1.0,1110,8423,1110,0,1.0,0,0,3,1952,0,0,2014-05-07,249000.0
Renton,3,1.75,1840,10723,1220,620,1.0,0,0,4,1974,0,0,2014-05-07,310000.0
Seattle,3,2.75,2520,5401,1360,1160,1.0,0,0,4,1946,0,0,2014-05-07,750000.0
Ravensdale,3,2.5,2680,327135,2680,0,2.0,0,0,3,1995,0,0,2014-05-07,630000.0
Seattle,9,4.5,3830,6988,2450,1380,2.5,0,0,3,1938,0,0,2014-05-07,599999.0
Kirkland,4,2.75,2410,9549,1780,630,1.0,0,0,4,1956,0,0,2014-05-07,758000.0
Covington,4,1.75,1720,10018,1720,0,1.0,0,0,5,1960,0,0,2014-05-07,248500.0
Kent,3,1.75,2070,37904,1420,650,1.0,0,0,4,1973,0,0,2014-05-07,310000.0
Redmond,3,2.0,1760,9055,1760,0,2.0,0,0,4,1985,0,0,2014-05-07,460000.0
Bellevue,3,1.75,1680,10500,1680,0,1.0,0,0,4,1959,0,0,2014-05-07,675000.0
Seattle,2,2.0,1550,2400,1550,0,1.5,0,0,4,1900,0,0,2014-05-07,526000.0
Carnation,3,3.0,4120,60392,3180,940,2.0,0,2,3,1994,0,0,2014-05-07,560000.0
Bothell,4,3.0,1830,9548,1830,0,2.0,0,0,3,1991,0,0,2014-05-07,415000.0
Burien,3,1.0,1400,7410,1400,0,1.0,0,0,3,1944,0,0,2014-05-07,246000.0
Federal Way,3,1.75,1870,12381,1870,0,1.0,0,0,4,1957,0,0,2014-05-07,314500.0
Seattle,7,4.5,6210,8856,4760,1450,2.5,0,2,5,1910,0,0,2014-05-07,3200000.0
Seattle,2,1.5,1040,3500,1040,0,1.5,0,0,4,1904,0,0,2014-05-07,420000.0
Carnation,3,1.75,2720,149410,2720,0,1.5,0,0,3,1988,0,0,2014-05-07,535000.0
Kirkland,3,1.0,1010,9360,1010,0,1.0,0,0,3,1981,0,0,2014-05-07,350000.0
Bellevue,3,1.75,1580,9147,1210,370,1.0,0,1,4,1967,0,0,2014-05-07,515000.0
Seattle,4,2.75,2600,6050,1960,640,2.0,0,0,5,1949,0,0,2014-05-07,749950.0
Renton,3,2.5,1920,9180,1920,0,2.0,0,0,3,1988,0,0,2014-05-07,230000.0
Seattle,3,2.0,2350,5080,1780,570,1.5,0,0,3,1929,0,0,2014-05-07,568000.0
Burien,1,1.0,1100,4373,820,280,1.0,0,0,2,1947,0,0,2014-05-07,250000.0
Kirkland,4,2.0,2510,13695,1280,1230,1.0,0,0,4,1961,2001,1,2014-05-07,581000.0
Kent,3,2.5,3240,108366,3240,0,2.0,0,0,4,1991,0,0,2014-05-07,651000.0
Issaquah,3,2.5,2460,108900,1860,600,1.0,0,0,4,1977,0,0,2014-05-07,600000.0
Seattle,2,1.0,1010,3885,1010,0,1.5,0,0,4,1906,1990,1,2014-05-07,500000.0
Seattle,2,1.0,820,2723,820,0,1.0,0,0,3,1921,0,0,2014-05-07,475000.0
Seattle,5,2.5,2420,8560,1620,800,1.0,0,2,3,1978,0,0,2014-05-07,352000.0
Kirkland,3,2.25,1770,8165,1770,0,2.0,0,0,3,1977,0,0,2014-05-07,420000.0
Redmond,2,2.0,1350,3900,1350,0,1.0,0,0,3,2003,0,0,2014-05-07,428000.0
